Enemy,Initial_Diversity,Simulation,Generation,Fitness_Avg,Fitness_Std,Fitness_Max,Gain_Avg,Gain_Std,Gain_Max
4,1,0,33,70.87641956530618,11.811835875667704,86.83440480288957,-9.703999999999905,19.78897632521712,37.60000000000028
4,1,0,34,71.37728453043621,12.165991966209198,87.82696826721383,-8.057999999999895,21.475722013473856,46.6000000000003
4,1,0,35,73.007750926244,11.63488506582338,87.82696826721383,-5.537999999999887,21.28495609579697,46.6000000000003
4,1,0,36,74.87590330011388,11.174195529764297,87.82696826721383,-2.3139999999998726,21.389029992031073,46.6000000000003
4,1,0,37,78.6499669146834,7.607166339291314,87.82696826721383,2.716000000000149,17.581699121529848,46.6000000000003
4,1,0,38,80.80127711100869,6.495774530329257,87.82696826721383,7.530000000000177,16.696691288995037,46.6000000000003
4,1,0,39,82.63161496790337,4.524989108693598,87.82696826721383,12.698000000000205,15.231191548923599,46.6000000000003
4,1,0,40,83.59024599122911,3.3835249666363634,88.51594081368869,16.09400000000023,13.629716211278966,52.600000000000314
4,1,0,41,84.36477736507453,1.7992230917444525,88.51594081368869,16.482000000000227,11.586409107225608,52.600000000000314
4,1,0,42,84.65374091544203,1.699171189703526,88.51594081368869,19.428000000000228,8.990306780082662,52.600000000000314
4,1,0,43,84.77175783078566,1.3327708705103918,87.82696826721383,18.926000000000236,8.16302174442776,46.6000000000003
4,1,0,44,85.08652333239219,1.2374309881624885,87.98765557252922,21.108000000000235,9.21361687938023,47.8000000000003
4,1,0,45,85.30331691777293,1.0027139496544502,87.98765557252922,22.20400000000025,9.235019436904302,47.8000000000003
4,1,0,46,85.5712839869854,1.0393308768166092,87.98765557252922,24.718000000000256,9.696807515878632,47.8000000000003
4,1,0,47,85.77547177076345,0.8394816034999515,87.98765557252922,26.668000000000255,7.966038915295368,47.8000000000003
4,1,0,48,86.07556572645157,0.7816596348078895,88.10877853727385,29.752000000000294,7.52739636262102,49.000000000000306
4,1,0,49,86.3408408180603,0.7794729626294719,88.16877853727385,32.38600000000031,7.4330750029849915,49.60000000000031
4,1,0,50,86.56461349803884,0.7464603799699723,88.40429422482651,34.5460000000003,7.09071815826862,52.00000000000031
4,1,0,51,86.86427186241876,0.6526647713481583,88.40429422482651,37.3300000000003,6.1915668453147,52.00000000000031
4,1,0,52,87.03136395167064,0.4827824487919722,88.40429422482651,38.94400000000031,4.637592478862294,52.00000000000031
4,1,0,53,87.28478980659669,0.4462979348284878,88.40429422482651,41.23000000000031,4.386467827307082,52.00000000000031
4,1,0,54,87.40800229627457,0.4478398914375151,88.93538547993741,42.26200000000031,4.525014475114976,57.400000000000325
4,1,0,55,87.63741653543282,0.44371805661366126,88.93538547993741,44.674000000000234,4.271641838918627,57.400000000000325
4,1,0,56,87.84294573921684,0.3467916070801463,88.82877853727385,46.65400000000033,3.225629240938898,56.20000000000032
4,1,0,57,88.03304190490138,0.2516184538247316,88.82877853727385,48.31000000000031,2.51481609665598,56.20000000000032
